sura,aya,page
1,1,1
2,1,2
2,6,3
2,17,4
2,25,5
2,30,6
2,38,7
2,49,8
2,58,9
2,62,10
2,70,11
2,77,12
2,84,13
2,89,14
2,94,15
2,102,16
2,106,17
2,113,18
2,120,19
2,127,20
2,135,21
2,142,22
2,146,23
2,154,24
2,164,25
2,170,26
2,177,27
2,182,28
2,187,29
2,191,30
2,197,31
2,203,32
2,211,33
2,216,34
2,220,35
2,225,36
2,231,37
2,234,38
2,238,39
2,246,40
2,249,41
2,253,42
2,257,43
2,260,44
2,265,45
2,270,46
2,275,47
2,282,48
2,283,49
3,1,50
3,10,51
3,16,52
3,23,53
3,30,54
3,38,55
3,46,56
3,53,57
3,62,58
3,71,59
3,78,60
3,84,61
3,92,62
3,101,63
3,109,64
3,116,65
3,122,66
3,133,67
3,141,68
3,149,69
3,154,70
3,158,71
3,166,72
3,174,73
3,181,74
3,187,75
3,195,76
4,1,77
4,7,78
4,12,79
4,15,80
4,20,81
4,24,82
4,27,83
4,34,84
4,38,85
4,45,86
4,52,87
4,60,88
4,66,89
4,75,90
4,80,91
4,87,92
4,92,93
4,95,94
4,102,95
4,106,96
4,114,97
4,122,98
4,128,99
4,135,100
4,141,101
4,148,102
4,155,103
4,163,104
4,171,105
4,176,106
5,3,107
5,6,108
5,10,109
5,14,110
5,18,111
5,24,112
5,32,113
5,37,114
5,42,115
5,46,116
5,51,117
5,58,118
5,65,119
5,71,120
5,77,121
5,83,122
5,90,123
5,96,124
5,104,125
5,109,126
5,114,127
6,1,128
6,9,129
6,19,130
6,28,131
6,36,132
6,45,133
6,53,134
6,60,135
6,69,136
6,74,137
6,82,138
6,91,139
6,95,140
6,102,141
6,111,142
6,119,143
6,125,144
6,132,145
6,138,146
6,143,147
6,147,148
6,152,149
6,158,150
7,1,151
7,12,152
7,23,153
7,31,154
7,38,155
7,44,156
7,52,157
7,58,158
7,68,159
7,74,160
7,82,161
7,88,162
7,96,163
7,105,164
7,121,165
7,131,166
7,138,167
7,144,168
7,150,169
7,156,170
7,160,171
7,164,172
7,171,173
7,179,174
7,188,175
7,196,176
8,1,177
8,9,178
8,17,179
8,26,180
8,34,181
8,41,182
8,46,183
8,53,184
8,62,185
8,70,186
9,1,187
9,7,188
9,14,189
9,21,190
9,27,191
9,32,192
9,37,193
9,41,194
9,48,195
9,55,196
9,62,197
9,69,198
9,73,199
9,80,200
9,87,201
9,94,202
9,100,203
9,107,204
9,112,205
9,118,206
9,123,207
